a 	啊	c=36 d=1.2806 t=40209
tou tou 	偷偷	c=1 d=0.0005 t=76495
tou tou di 	透透底	c=1 d=0.0005 t=76495
tou xi 	偷襲	c=1 d=0.0005 t=76495
tou xiang 	头像	c=2 d=0.0023 t=3923
tou xiang 	頭像	c=34 d=0.1217 t=76495
tou xiang xin xi 	頭像欣喜	c=1 d=0.0005 t=76495
tou yu 	偷魚	c=1 d=0.0005 t=76495
tou yun 	頭暈	c=1 d=0.0005 t=76495
tou zi ren 	投資人	c=1 d=0.0005 t=76495
tu 	图	c=0 d=0.0002 t=3923
tu 	圖	c=13 d=0.0016 t=76495
tu 	土	c=0 d=0.0005 t=76495
tu 	途	c=1 d=0.0005 t=76495
tu biao 	图标	c=1 d=0.0012 t=3923
tu biao 	图表	c=1 d=0.0012 t=3923
tu cao 	吐槽	c=5 d=0.7043 t=76495
tu chuang 	图床	c=1 d=0.0005 t=76495
tu er qi 	土耳其	c=2 d=0.0005 t=76495
tu fu 	屠夫	c=0 d=0.0005 t=76495
tu ge 	圖個	c=1 d=0.0005 t=76495
tu jing 	途徑	c=2 d=0.0006 t=76495
tu le 	吐了	c=1 d=0.2011 t=3923
tu le tu le 	吐了吐了	c=1 d=1.0183 t=3923
tu ling 	图灵	c=1 d=0.0005 t=76495
tu mian 	圖面	c=1 d=0.0005 t=76495
tu pian 	图片	c=7 d=0.2306 t=3923
tu pian 	圖片	c=83 d=16.3202 t=76495
tu po kou 	突破口	c=1 d=0.0005 t=76495
tu ran 	突然	c=7 d=1.3424 t=76495
tu song 	圖送	c=1 d=0.0005 t=76495
tuan dui 	團隊	c=4 d=0.0005 t=76495
tuan jian 	團建	c=1 d=1.9629 t=76495
tui 	推	c=18 d=6.7838 t=40209
tui 	腿	c=1 d=0.0005 t=76495
tui 	退	c=2 d=0.0005 t=76495
tui bu dong 	推不動	c=2 d=0.0005 t=76495
tui bu liao 	推不了	c=1 d=0.0005 t=76495
tui chu 	推出	c=1 d=0.0002 t=3923
tui chu 	退出	c=26 d=0.2632 t=40209
tui chu qun 	退出羣	c=2 d=0.0005 t=76495
tui dao 	推到	c=1 d=0.0024 t=76495
tui dong 	推動	c=1 d=0.0005 t=76495
tui du zi 	腿肚子	c=1 d=0.0005 t=76495
tui duan 	推斷	c=1 d=0.0005 t=76495
tui fan 	推翻	c=2 d=0.0005 t=76495
tui fei 	頹廢	c=0 d=0.0005 t=76495
tui fei le 	頹廢了	c=1 d=0.0005 t=76495
tui ge 	推個	c=1 d=0.0005 t=76495
tui gei 	推給	c=3 d=0.0005 t=76495
tui gei ni 	推給你	c=2 d=0.0005 t=76495
tui gei wo 	推給我	c=3 d=2.3737 t=76495
tui guan 	推官	c=1 d=0.0005 t=76495
tui guang 	推廣	c=1 d=0.0005 t=76495
tui guo 	推鍋	c=1 d=0.0005 t=76495
tui guo lai 	推過來	c=18 d=0.0005 t=76495
tui guo lai le 	推過來了	c=1 d=0.0005 t=76495
tui hei su 	螁黑素	c=2 d=4.5242 t=76495
tui jian 	推荐	c=3 d=2.6746 t=3923
tui jian 	推薦	c=8 d=0.0150 t=76495
tui le 	推了	c=4 d=0.0007 t=40209
tui le 	退了	c=1 d=0.0005 t=76495
tui le ba 	退了吧	c=1 d=0.0005 t=76495
tui li 	推力	c=1 d=0.0005 t=76495
tui qun 	退群	c=15 d=0.0005 t=76495
tui ru 	推入	c=6 d=0.0005 t=76495
tui sha 	推啥	c=1 d=0.0005 t=76495
tui shang qu 	推上去	c=1 d=0.0005 t=76495
tui song 	推送	c=133 d=1.7415 t=40209
tui song gei 	推送給	c=1 d=0.0005 t=76495
tui song min gan 	推送敏感	c=1 d=0.0005 t=76495
tui xiu 	退休	c=1 d=0.0005 t=76495
tui xue 	退學	c=1 d=0.0005 t=76495
tui yi ge 	推一個	c=3 d=0.0005 t=76495
tui yi tiao 	推一條	c=1 d=0.0005 t=76495
tui yi xia 	退一下	c=1 d=0.0005 t=76495
tun 	吞	c=2 d=0.0005 t=76495
tuo 	拖	c=1 d=0.0005 t=76495
tuo cheng 	拖成	c=1 d=0.0005 t=76495
tuo de 	拖得	c=1 d=0.1835 t=76495
tuo feng 	駝峯	c=3 d=0.0005 t=76495
tuo guan 	託管	c=2 d=0.0022 t=76495
tuo gui 	脫軌	c=0 d=0.0005 t=76495
tuo gui lai 	脫軌來	c=1 d=0.0005 t=76495
tuo jie 	脫節	c=1 d=0.0005 t=76495
tuo jin 	拖進	c=1 d=0.0005 t=76495
tuo ke 	拓客	c=18 d=3.9177 t=40209
tuo le 	脫了	c=1 d=2.4095 t=76495
tuo li 	脫離	c=1 d=0.0005 t=76495
tuo tuo de 	妥妥的	c=2 d=0.0005 t=76495
tuo zhe me jiu 	拖這麼久	c=1 d=0.0005 t=76495
tuo zhuai 	拖拽	c=1 d=0.0005 t=76495
tuo zhuai pai xu 	拖拽排序	c=1 d=0.0005 t=76495
wa 	哇	c=5 d=0.1326 t=76495
wa 	娃	c=1 d=0.0005 t=76495
wa duan 	挖斷	c=1 d=0.0005 t=76495
wa ha ha ha 	哇哈哈哈	c=1 d=0.0005 t=76495
wa keng 	挖坑	c=1 d=0.9555 t=76495
wa kuang 	挖礦	c=1 d=0.0005 t=76495
wa mei 	挖煤	c=1 d=0.0005 t=76495
wa wa wa 	哇哇哇	c=3 d=0.0005 t=76495
wai 	外	c=4 d=0.2388 t=76495
wai bao 	外包	c=5 d=1.2236 t=40209
wai bian 	外邊	c=2 d=0.1540 t=76495
wai bu 	外埠	c=1 d=0.0005 t=76495
wai bu 	外部	c=7 d=0.0097 t=76495
wai bu lian xi 	外部聯係	c=0 d=0.0005 t=76495
wai bu lian xi ren 	外埠聯繫人	c=1 d=0.0005 t=76495
wai bu lian xi ren 	外部聯係人	c=1 d=0.0005 t=76495
wai ceng 	外層	c=4 d=0.2018 t=76495
wai cheng 	外城	c=1 d=0.0005 t=76495
wai gua lie zao 	歪瓜裂棗	c=1 d=0.0005 t=76495
wai jia 	外加	c=1 d=0.0005 t=76495
wai mai 	外賣	c=2 d=0.0005 t=76495
wai mian 	外面	c=9 d=0.4549 t=40209
wai po 	外婆	c=1 d=0.0005 t=76495
wai ri 	歪日	c=1 d=0.0005 t=76495
wai wang 	外網	c=2 d=0.0005 t=76495
wai zhi 	外置	c=1 d=0.0005 t=76495
wan 	万	c=1 d=0.1946 t=3923
wan 	完	c=37 d=0.0995 t=40209
wan 	晚	c=4 d=0.0166 t=40209
wan 	玩	c=18 d=4.4173 t=40209
wan 	萬	c=10 d=0.0008 t=76495
wan an 	晚安	c=2 d=1.5201 t=3923
wan bei 	完備	c=1 d=0.0005 t=76495
wan bi 	完毕	c=2 d=1.6130 t=3923
wan bi 	完畢	c=13 d=0.0214 t=76495
wan bu lai 	玩不来	c=3 d=0.0005 t=76495
wan bu qi 	玩不起	c=1 d=0.0005 t=76495
wan bu xia qu 	玩不下去	c=2 d=0.5138 t=40209
wan cheng 	完成	c=54 d=2.2277 t=40209
wan cheng 	萬盛	c=1 d=0.0181 t=76495
wan cheng le 	完成了	c=1 d=0.0005 t=76495
wan dian 	晚點	c=1 d=0.0005 t=76495
wan duo le 	玩多了	c=1 d=0.3067 t=3923
wan fa 	玩法	c=1 d=0.0005 t=76495
wan ga de 	玩尬的	c=1 d=0.0005 t=76495
wan gong 	完工	c=1 d=1.0234 t=3923
wan gu 	萬古	c=1 d=0.0005 t=76495
wan gu 	萬股	c=0 d=0.0005 t=76495
wan guo 	玩過	c=3 d=0.0016 t=76495
wan jia 	玩家	c=1 d=0.0005 t=76495
wan jian 	晚間	c=1 d=0.0005 t=76495
wan ju 	玩具	c=2 d=0.0005 t=76495
wan le 	完了	c=9 d=0.6832 t=40209
wan liang ba 	玩两把	c=1 d=0.0421 t=3923
wan mei shi jie 	完美世界	c=1 d=0.0005 t=76495
wan qi lai 	玩起來	c=0 d=0.0637 t=76495
wan quan 	完全	c=11 d=0.1747 t=40209
wan quan bu 	完全不	c=0 d=0.1334 t=3923
wan ru 	宛如	c=1 d=0.0005 t=76495
wan sao zi 	玩嫂子	c=1 d=0.0005 t=76495
wan sha 	玩啥	c=2 d=0.0005 t=76495
wan shan 	完善	c=7 d=0.0220 t=76495
wan shang 	晚上	c=19 d=8.6172 t=40209
wan shang 	玩賞	c=1 d=0.0005 t=76495
wan shang jian 	晚上見	c=1 d=0.0005 t=76495
wan shang lai bu lai 	晚上来不来	c=1 d=0.0005 t=76495
wan shao le 	玩少了	c=1 d=0.0005 t=76495
wan sheng wei 	萬勝圍	c=1 d=0.0005 t=76495
wan shi ru yi 	萬事如意	c=1 d=0.0005 t=76495
wan shou ji 	玩手机	c=1 d=0.0005 t=76495
wan wan 	玩玩	c=4 d=3.9767 t=40209
wan wan 	萬萬	c=1 d=0.0006 t=76495
wan wan kan 	玩玩看	c=1 d=0.0005 t=76495
wan yi 	玩意	c=3 d=0.0005 t=76495
wan yi 	萬一	c=1 d=0.0005 t=76495
wan yi er 	玩意儿	c=1 d=0.8591 t=3923
wan yi er 	玩意兒	c=3 d=4.8463 t=76495
wan yi wan 	玩一玩	c=1 d=0.0005 t=76495
wan yi xia 	玩一下	c=1 d=0.0174 t=3923
wan yin de shi ba 	玩阴的是吧	c=1 d=1.0705 t=3923
wan you xi 	玩遊戲	c=1 d=0.0005 t=76495
wan zai qu 	灣仔區	c=1 d=0.0058 t=76495
wan zheng 	完整	c=17 d=1.2553 t=40209
wan zheng 	頑症	c=1 d=0.0005 t=76495
wan zheng xing 	完整性	c=1 d=0.0005 t=76495
wang 	往	c=9 d=0.0036 t=40209
wang 	王	c=1 d=0.0014 t=76495
wang 	網	c=1 d=0.0005 t=76495
wang cai 	旺財	c=2 d=0.0052 t=76495
wang ci 	忘词	c=1 d=2.0000 t=3725
wang feng 	汪峯	c=2 d=0.0005 t=76495
wang guan 	網管	c=1 d=0.0005 t=76495
wang hou 	往后	c=1 d=0.0002 t=3923
wang hou 	往後	c=8 d=1.1333 t=76495
wang hou pai 	往後排	c=2 d=0.0005 t=76495
wang huo 	旺火	c=1 d=0.0005 t=76495
wang ji 	忘記	c=15 d=0.1573 t=76495
wang ji 	忘记	c=2 d=3.1565 t=3923
wang ji le 	忘记了	c=1 d=1.4523 t=3923
wang ka 	網卡	c=1 d=0.0005 t=76495
wang kong 	網孔	c=1 d=0.0005 t=76495
wang le 	忘了	c=8 d=2.1927 t=40209
wang li mian 	往裏面	c=1 d=0.0005 t=76495
wang li mian 	往里面	c=1 d=0.0002 t=3923
wang luo 	網絡	c=12 d=0.2710 t=76495
wang pan 	網盤	c=2 d=1.0612 t=76495
wang shang 	往上	c=1 d=0.0005 t=76495
wang shang 	網上	c=5 d=0.0005 t=76495
wang shang 	网上	c=2 d=0.4950 t=3923
wang shu gang 	王樹剛	c=1 d=0.3327 t=76495
wang su 	網速	c=3 d=4.2607 t=76495
wang wai 	往外	c=3 d=0.0005 t=76495
wang wang 	往往	c=1 d=0.0005 t=76495
wang xia 	往下	c=7 d=2.3742 t=40209
wang xia zou 	往下走	c=1 d=0.0685 t=76495
wang ye 	網頁	c=13 d=0.1608 t=76495
wang ye 	网页	c=2 d=0.1654 t=3923
wang ye ban 	网页版	c=2 d=0.0008 t=76495
wang ye duan 	网页端	c=1 d=0.0005 t=76495
wang yi yun 	网易云	c=4 d=2.0948 t=76495
wang zhan 	網站	c=3 d=0.0015 t=76495
wang zhe 	王者	c=1 d=0.3335 t=76495
wang zhe rong yao 	王者荣耀	c=2 d=3.2086 t=40209
wang zhi 	網址	c=6 d=0.0005 t=76495
wei 	为	c=2 d=1.8370 t=3923
wei 	位	c=9 d=2.0867 t=40209
wei 	味	c=3 d=0.0005 t=76495
wei 	尾	c=0 d=0.0560 t=76495
wei 	微	c=1 d=0.0005 t=76495
wei 	未	c=13 d=0.0056 t=76495
wei 	爲	c=87 d=8.1354 t=76495
wei 	胃	c=1 d=0.0005 t=76495
wei bei 	未被	c=3 d=0.0043 t=76495
wei bei an 	未備案	c=1 d=0.0008 t=76495
wei bian zu 	未編組	c=10 d=0.0050 t=76495
wei bo 	微博	c=3 d=0.0005 t=76495
wei bo 	微波	c=1 d=0.0005 t=76495
wei can yu 	未參與	c=1 d=0.0339 t=76495
wei cao 	微操	c=1 d=0.0005 t=76495
wei cheng 	偉成	c=3 d=0.0005 t=76495
wei cheng nian 	未成年	c=1 d=0.0005 t=76495
wei chi 	維持	c=1 d=0.0005 t=76495
wei da 	爲大	c=0 d=0.0005 t=76495
wei dao 	味道	c=7 d=0.1564 t=76495
wei dao 	未到	c=1 d=0.0005 t=76495
wei dao chu 	未導出	c=1 d=0.0005 t=76495
wei deng lu 	未登錄	c=1 d=0.0005 t=76495
wei ding yi 	未定义	c=1 d=0.0016 t=76495
wei du 	未讀	c=12 d=0.8645 t=76495
wei du 	維度	c=8 d=0.0005 t=76495
wei du shu 	未讀數	c=4 d=0.0005 t=76495
wei fen zu 	未分組	c=1 d=0.0015 t=76495
wei guan 	圍觀	c=2 d=0.0005 t=76495
wei guan 	未關	c=0 d=0.0005 t=76495
wei guan zhu 	未關註	c=1 d=0.0005 t=76495
wei hu 	維護	c=14 d=0.5205 t=76495
wei hu 	维护	c=1 d=1.1950 t=3923
wei hui fu 	未回覆	c=1 d=0.0005 t=76495
wei jia 	未加	c=0 d=0.0005 t=76495
wei jia ru 	未加入	c=2 d=0.0005 t=76495
wei jie 	未解	c=0 d=0.0005 t=76495
wei jie feng 	未解封	c=2 d=0.0005 t=76495
wei ju 	畏懼	c=0 d=0.0005 t=76495
wei kai qi 	未开启	c=1 d=0.0005 t=76495
wei kong 	为空	c=2 d=0.0874 t=3923
wei kong 	爲空	c=16 d=2.1158 t=76495
wei kong zhi 	爲空值	c=1 d=0.0005 t=76495
wei kou 	胃口	c=0 d=0.0005 t=76495
wei lai 	未來	c=4 d=0.9661 t=76495
wei le 	爲了	c=8 d=0.0005 t=76495
wei li 	威力	c=1 d=0.0005 t=76495
wei liang 	微量	c=1 d=0.0005 t=76495
wei mao 	为毛	c=1 d=0.0005 t=76495
wei neng 	未能	c=1 d=0.0005 t=76495
wei pang 	微胖	c=1 d=0.0005 t=76495
wei pei zhi 	爲配置	c=1 d=0.0005 t=76495
wei quan 	維權	c=1 d=0.0005 t=76495
wei ren 	伟任	c=1 d=0.7852 t=3923
wei ren 	委任	c=2 d=0.0005 t=76495
wei ruan ya hei 	微软雅黑	c=1 d=1.2962 t=76495
wei sha 	为啥	c=2 d=3.2505 t=3923
wei sha 	爲啥	c=12 d=0.4208 t=76495
wei she 	未設	c=0 d=0.0005 t=76495
wei she zhi 	未設置	c=4 d=0.0005 t=76495
wei shen me 	爲什麼	c=42 d=0.0005 t=76495
wei sheng zhi 	衛生紙	c=2 d=0.0005 t=76495
wei shi xian 	未實現	c=1 d=0.0005 t=76495
wei shu 	位數	c=1 d=0.0005 t=76495
wei ti 	爲題	c=2 d=0.0005 t=76495
wei tian 	未填	c=1 d=0.1458 t=76495
wei tian jia 	爲添加	c=1 d=0.0005 t=76495
wei wu zhu yi zhe 	唯物主义者	c=1 d=0.0005 t=76495
wei xian 	危險	c=2 d=0.0435 t=76495
wei xiao 	微笑	c=1 d=0.0005 t=76495
wei xie ru 	未寫入	c=1 d=0.0005 t=76495
wei xin 	微信	c=189 d=16.9639 t=40209
wei xin hao 	微信号	c=5 d=0.0110 t=76495
wei yang 	未央	c=0 d=0.0005 t=76495
wei yang sheng 	未央生	c=1 d=0.0005 t=76495
wei yi 	唯一	c=9 d=0.1922 t=40209
wei yi xing 	唯一性	c=1 d=0.0005 t=76495
wei zao 	僞造	c=1 d=0.0005 t=76495
wei zhao dao 	未找到	c=4 d=0.2377 t=40209
wei zhe 	圍着	c=5 d=0.0005 t=76495
wei zhi 	位置	c=33 d=6.5707 t=40209
wei zhi 	未知	c=9 d=1.8879 t=40209
wei zhi 	未置	c=1 d=0.0005 t=76495
wen 	問	c=20 d=0.0010 t=76495
wen 	穩	c=1 d=0.0005 t=76495
wen 	聞	c=3 d=0.1480 t=76495
wen 	闻	c=0 d=0.0006 t=3923
wen an 	文案	c=23 d=0.0005 t=76495
wen ben 	文本	c=23 d=1.0967 t=40209
wen bu dao 	聞不到	c=1 d=0.0005 t=76495
wen cai 	文才	c=1 d=0.0005 t=76495
wen dang 	文檔	c=63 d=1.5733 t=76495
wen dang na ge 	文檔哪個	c=9 d=0.4721 t=76495
wen dao 	問到	c=1 d=0.0005 t=76495
wen de 	問的	c=0 d=0.0228 t=76495
wen de sha 	問的啥	c=1 d=0.2286 t=76495
wen dian 	稳点	c=1 d=0.0005 t=76495
wen ding 	穩定	c=10 d=0.0005 t=76495
wen ding xing 	穩定性	c=1 d=0.0005 t=76495
wen fa 	文法	c=1 d=0.0005 t=76495
wen ge 	問個	c=1 d=0.0024 t=76495
wen ge 	文革	c=1 d=0.0024 t=76495
wen guo 	問過	c=1 d=0.0005 t=76495
wen guo lai 	問過來	c=1 d=0.0005 t=76495
wen hao 	問號	c=2 d=0.0005 t=76495
wen he 	溫和	c=1 d=0.0005 t=76495
wen hua 	文化	c=4 d=0.0005 t=76495
wen jian 	文件	c=129 d=15.8457 t=40209
wen jian 	稳健	c=0 d=0.2000 t=3630
wen jian 	穩健	c=1 d=0.0005 t=76495
wen jian hua 	文件化	c=1 d=0.0005 t=76495
wen jian jia 	文件夾	c=5 d=0.0005 t=76495
wen jian jian 	文件見	c=1 d=0.0005 t=76495
wen jian ming 	文件名	c=2 d=0.0036 t=76495
wen jian yi dian 	稳健一点	c=1 d=2.0000 t=3631
wen jin a 	问津啊	c=2 d=0.0005 t=76495
wen lai wen qu 	問來問去	c=1 d=0.0005 t=76495
wen le 	問了	c=2 d=0.0477 t=76495
wen le 	稳了	c=4 d=0.0005 t=76495
wen le 	问了	c=1 d=0.7582 t=3923
wen le wen 	問了問	c=1 d=0.0005 t=76495
wen luan 	紊亂	c=2 d=0.0005 t=76495
wen mang lv 	文盲率	c=1 d=0.0005 t=76495
wen ni 	問你	c=2 d=0.0005 t=76495
wen ni 	问你	c=0 d=0.0758 t=3923
wen po fang 	問破防	c=1 d=0.0005 t=76495
wen ta 	問他	c=1 d=0.0005 t=76495
wen ti 	問題	c=348 d=8.5309 t=76495
wen ti 	问题	c=11 d=0.1144 t=3923
wen ti o 	問題哦	c=1 d=0.0005 t=76495
wen wen 	問問	c=9 d=0.0675 t=76495
wen wo 	問我	c=9 d=0.0105 t=76495
wen xia 	问下	c=23 d=0.5257 t=76495
wen xiang 	蚊香	c=1 d=0.0005 t=76495
wen xiang shi nv ren 	闻香识女人	c=1 d=0.0064 t=3923
wen yan 	聞言	c=1 d=0.0005 t=76495
wen yi ci 	問一次	c=1 d=0.0005 t=76495
wen yi xia 	問一下	c=7 d=0.0510 t=76495
wen zhang 	文章	c=6 d=4.7324 t=76495
wen zhang 	蚊帳	c=1 d=0.0005 t=76495
wen zhu 	穩住	c=1 d=0.0005 t=76495
wen zi 	文字	c=3 d=0.4535 t=40209
weng 	嗡	c=1 d=0.0009 t=76495
wo 	我	c=692 d=31.1586 t=40209
wo ba 	我把	c=13 d=1.7334 t=76495
wo ba zhe xie 	我把這些	c=1 d=0.0005 t=76495
wo bei 	我被	c=2 d=0.0005 t=76495
wo bei ta 	我被他	c=1 d=0.2404 t=76495
wo bi jiao 	我比较	c=1 d=0.0005 t=76495
wo bi jiao cai 	我比较菜	c=1 d=0.0005 t=76495
wo bu 	我部	c=1 d=0.0005 t=76495
wo bu guan 	我不管	c=2 d=0.3149 t=76495
wo bu guan xin 	我不關心	c=1 d=0.0005 t=76495
wo bu hui 	我不会	c=1 d=0.9214 t=3923
wo bu hui 	我不會	c=2 d=0.1910 t=76495
wo bu ji de 	我不記得	c=2 d=0.7294 t=76495
wo bu ji de le 	我不记得了	c=1 d=0.0002 t=3923
wo bu ming bai 	我不明白	c=1 d=0.0005 t=76495
wo bu que ding 	我不确定	c=1 d=0.0005 t=76495
wo bu shi 	我不是	c=3 d=0.0005 t=76495
wo bu tai 	我不太	c=1 d=0.0005 t=76495
wo bu tai hui 	我不太会	c=0 d=0.0501 t=3923
wo bu tai hui wan 	我不太会玩	c=1 d=0.5032 t=3923
wo bu ting 	我不听	c=1 d=0.0005 t=76495
wo bu xi huan 	我不喜欢	c=1 d=0.9168 t=3923
wo bu xiang 	我不想	c=1 d=0.0008 t=76495
wo bu xiang dian 	我不想點	c=1 d=0.0079 t=76495
wo bu xin 	我不信	c=6 d=0.0018 t=76495
wo bu yi ding 	我不一定	c=1 d=0.0005 t=76495
wo bu yong 	我不用	c=1 d=0.0005 t=76495
wo bu zhao ji 	我不着急	c=1 d=0.0005 t=76495
wo bu zhi dao 	我不知道	c=6 d=0.0005 t=76495
wo bu zhi dao ya 	我不知道呀	c=1 d=0.0087 t=76495
wo ca 	我擦	c=1 d=0.0005 t=76495
wo cai 	我才	c=0 d=0.2000 t=3629
wo cai 	我纔	c=1 d=0.0005 t=76495
wo cai fa xian 	我才发现	c=1 d=0.0005 t=76495
wo cai neng 	我才能	c=1 d=0.0005 t=76495
wo cai qi chuang 	我才起床	c=1 d=2.0000 t=3630
wo cao 	卧槽	c=13 d=0.0011 t=76495
wo cha xia 	我查下	c=3 d=0.0005 t=76495
wo cha yi xia 	我查一下	c=1 d=0.0005 t=76495
wo chi guo 	我喫過	c=1 d=0.0005 t=76495
wo chou chou 	我瞅瞅	c=3 d=0.2477 t=76495
wo chu lai 	我出來	c=1 d=0.2683 t=76495
wo cong 	我从	c=1 d=0.9400 t=3923
wo da bao 	我打包	c=1 d=0.0005 t=76495
wo da gai 	我大概	c=2 d=0.0005 t=76495
wo da hao 	我大号	c=1 d=1.8835 t=3923
wo dai ni 	我带你	c=2 d=0.4581 t=76495
wo dan du 	我單獨	c=1 d=0.0005 t=76495
wo dang shi 	我当时	c=3 d=0.0005 t=76495
wo dao shi 	我倒是	c=1 d=0.1956 t=3923
wo dao shi hou 	我到时候	c=1 d=0.0005 t=76495
wo de 	我的	c=24 d=5.6746 t=40209
wo de 	握的	c=1 d=0.0005 t=76495
wo de guo 	我的锅	c=1 d=0.0662 t=76495
wo de ma 	我的妈	c=1 d=0.0866 t=3923
wo de shi jie 	我的世界	c=1 d=0.0005 t=76495
wo de tian 	我的天	c=2 d=1.9905 t=40209
wo dei 	我得	c=13 d=0.2957 t=40209
wo deng 	我等	c=1 d=0.0005 t=76495
wo deng xia 	我等下	c=3 d=0.0005 t=76495
wo deng zhe 	我等着	c=1 d=0.0005 t=76495
wo di yi fen 	我第一份	c=1 d=0.0005 t=76495
wo di yi ge 	我第一个	c=1 d=2.0000 t=3637
wo ding 	我頂	c=1 d=0.0005 t=76495
wo diu 	我丟	c=1 d=0.0005 t=76495
wo dou 	我都	c=21 d=4.1587 t=40209
wo dou bu zhi dao 	我都不知道	c=1 d=0.0005 t=76495
wo dou yao 	我都要	c=1 d=0.1603 t=76495
wo dou you 	我都有	c=1 d=0.0005 t=76495
wo dui 	我對	c=3 d=0.0352 t=76495
wo e 	我哦	c=1 d=0.0005 t=76495
wo fa 	我發	c=1 d=0.0005 t=76495
wo fa ban 	我發版	c=1 d=2.4954 t=76495
wo fa ge ban 	我發個版	c=1 d=0.0005 t=76495
wo fa gei 	我发给	c=1 d=0.0007 t=3923
wo fa qi 	我法器	c=1 d=0.4224 t=3923
wo fa song 	我發送	c=1 d=0.0005 t=76495
wo fa yan 	我發言	c=1 d=0.0005 t=76495
wo fa yi xia 	我发一下	c=1 d=0.0002 t=3923
wo fan 	我反	c=0 d=0.0110 t=76495
wo fan yi xia 	我反一下	c=1 d=0.1102 t=76495
wo fou 	我否	c=1 d=0.0005 t=76495
wo fu ze 	我負責	c=1 d=0.0005 t=76495
wo fu ze 	我负责	c=1 d=0.0002 t=3923
wo gai 	我該	c=1 d=0.0005 t=76495
wo gai xia 	我改下	c=3 d=0.0138 t=76495
wo gai yi bo 	我改一撥	c=2 d=0.0005 t=76495
wo gai yi xia 	我改一下	c=1 d=0.0005 t=76495
wo gan jue 	我感觉	c=2 d=0.0005 t=76495
wo gang 	我剛	c=2 d=0.0005 t=76495
wo gang xiang 	我剛想	c=1 d=0.0005 t=76495
wo gei 	我给	c=6 d=0.0012 t=40209
wo gei de 	我给的	c=1 d=0.0099 t=76495
wo gei ni 	我給你	c=12 d=0.0213 t=76495
wo gei ni 	我给你	c=1 d=0.0101 t=3923
wo gei ni shuo 	我给你说	c=1 d=0.0005 t=76495
wo gei ta 	我给他	c=7 d=0.4272 t=76495
wo gei yi xia 	我给一下	c=1 d=0.0005 t=76495
wo gong si 	我公司	c=1 d=0.4792 t=76495
wo guan cha 	我觀察	c=1 d=0.0005 t=76495
wo guo 	我國	c=1 d=0.0005 t=76495
wo guo lai 	我過來	c=3 d=0.0005 t=76495
wo hai 	我还	c=1 d=1.6115 t=3923
wo hai 	我還	c=5 d=0.0005 t=76495
wo hai ji de 	我還記得	c=1 d=0.0005 t=76495
wo hai mei 	我還沒	c=2 d=0.0005 t=76495
wo hai mei fa 	我還沒發	c=1 d=0.0005 t=76495
wo hai mei xi zao 	我还没洗澡	c=1 d=1.5268 t=3923
wo hai shi 	我还是	c=1 d=1.2376 t=3923
wo hai shi 	我還是	c=3 d=0.0005 t=76495
wo hai yi wei 	我还以为	c=2 d=0.0005 t=76495
wo hai you 	我還有	c=1 d=0.0005 t=76495
wo hai zai 	我還在	c=1 d=0.0005 t=76495
wo hao 	我好	c=2 d=0.2606 t=40209
wo hao qi 	我好奇	c=1 d=0.0005 t=76495
wo he 	我和	c=5 d=0.0669 t=40209
wo he ta 	我和他	c=2 d=0.0005 t=76495
wo he ta 	我和她	c=0 d=0.0005 t=76495
wo he ta shuo le 	我和她說了	c=1 d=0.0005 t=76495
wo hen hao 	我很好	c=1 d=0.0005 t=76495
wo hen hao qi 	我很好奇	c=1 d=0.0005 t=76495
wo hou duan 	我後端	c=2 d=0.0005 t=76495
wo huai yi 	我怀疑	c=6 d=0.0015 t=76495
wo huan yi 	我換衣	c=1 d=0.0005 t=76495
wo hui 	我会	c=0 d=0.0002 t=3923
wo hui 	我會	c=5 d=0.0005 t=76495
wo hui jia 	我回家	c=1 d=1.1311 t=3923
wo hui lai le 	我回来了	c=1 d=0.0039 t=3923
wo hui ya 	我会呀	c=1 d=0.0002 t=3923
wo ji de 	我记得	c=8 d=0.0578 t=40209
wo jia li 	我家里	c=1 d=0.0005 t=76495
wo jia yi xia 	我加一下	c=1 d=0.0005 t=76495
wo jiang 	我將	c=1 d=0.0302 t=76495
wo jiao ni 	我叫你	c=1 d=0.0005 t=76495
wo jie 	我接	c=1 d=0.5038 t=76495
wo jie ge tu 	我截个图	c=1 d=0.0005 t=76495
wo jie hun 	我結婚	c=1 d=0.0005 t=76495
wo jiu 	我就	c=11 d=5.3667 t=40209
wo jiu cha yi ge 	我就差一个	c=1 d=0.0397 t=3923
wo jiu pa 	我就怕	c=1 d=0.0002 t=3923
wo jiu shi 	我就是	c=3 d=0.0005 t=76495
wo jiu shuo 	我就说	c=1 d=0.0652 t=76495
wo jiu xiang 	我就想	c=1 d=0.0005 t=76495
wo jiu yao 	我就要	c=2 d=0.3165 t=76495
wo jue de 	我覺得	c=22 d=3.1593 t=76495
wo kai 	我开	c=1 d=0.0005 t=76495
wo kan 	我看	c=23 d=1.0164 t=40209
wo kan jian 	我看见	c=2 d=0.0298 t=40209
wo kan kan 	我看看	c=9 d=0.0052 t=40209
wo kan le 	我看了	c=2 d=0.0005 t=76495
wo kan le xia 	我看了下	c=1 d=0.0005 t=76495
wo kan xia 	我看下	c=18 d=1.9894 t=76495
wo kan yi yan 	我看一眼	c=1 d=0.0005 t=76495
wo kan zhe 	我看着	c=1 d=0.0005 t=76495
