# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	76495
#@/user_id	rime-windows
a 	啊	c=34 d=0.00152301 t=76495
ni zuo shi 	你做事	c=1 d=4.67462e-84 t=76495
ni zuo zai 	你坐在	c=1 d=5.63609e-108 t=76495
nian 	唸	c=0 d=5.60452e-43 t=76495
nian 	年	c=8 d=8.69655e-05 t=76495
nian 	鯰	c=0 d=1.06495e-06 t=76495
nian chu 	年初	c=0 d=7.69142e-61 t=76495
nian di 	年底	c=1 d=8.14595e-59 t=76495
nian jie jie 	唸姐姐	c=2 d=1.14078e-41 t=76495
nian jie jie 	年姐姐	c=1 d=2.93548e-22 t=76495
nian jie jie 	鯰姐姐	c=1 d=1.07029e-05 t=76495
nian ling 	年齡	c=2 d=0.0611592 t=76495
nian nian 	念念	c=2 d=1.27628e-17 t=76495
nian qian 	年前	c=1 d=9.7747e-27 t=76495
nian qing 	年輕	c=0 d=1.0677e-07 t=76495
nian qing qi sheng 	年輕氣盛	c=1 d=3.63738e-103 t=76495
nian qing ren 	年輕人	c=1 d=6.17816e-12 t=76495
nian tou 	念頭	c=1 d=4.13136e-13 t=76495
nian xin 	年薪	c=2 d=7.98788e-05 t=76495
nian yue ri 	年月日	c=1 d=1.39571e-40 t=76495
niang 	娘	c=2 d=1.31148e-35 t=76495
niao 	尿	c=0 d=7.87566e-16 t=76495
niao fen cha 	尿分岔	c=1 d=7.91513e-15 t=76495
niao huang 	尿黄	c=1 d=8.1155e-15 t=76495
niao shi 	鸟事	c=2 d=0.0771052 t=76495
niao suan 	尿酸	c=1 d=7.32028e-37 t=76495
niao xing 	尿性	c=1 d=6.02299e-95 t=76495
nie 	捏	c=2 d=0.34635 t=76495
nie fu gui 	捏富貴	c=1 d=0.0678809 t=76495
ning wan 	擰完	c=1 d=0.0561348 t=76495
niu 	扭	c=0 d=2.89553e-97 t=76495
niu 	牛	c=1 d=8.99071e-14 t=76495
niu a 	牛啊	c=2 d=3.85652e-19 t=76495
niu bi 	牛比	c=1 d=8.88676e-83 t=76495
niu bi 	牛逼	c=19 d=0.847894 t=76495
niu bo 	牛波	c=1 d=0.00106477 t=76495
niu bu chu lai 	扭不出來	c=1 d=2.91005e-96 t=76495
niu fen lan 	紐芬蘭	c=0 d=1.06025e-101 t=76495
niu gui she shen 	牛鬼蛇神	c=1 d=1.87436e-09 t=76495
niu ke 	牛客	c=1 d=7.92887e-06 t=76495
niu ke wang 	牛客网	c=1 d=0.000116223 t=76495
niu pi 	牛批	c=2 d=1.98371e-29 t=76495
niu shao 	牛少	c=2 d=1.7872 t=76495
niu yang rou 	牛羊肉	c=1 d=6.8596e-37 t=76495
nong 	弄	c=49 d=0.225375 t=76495
nong chang 	農場	c=1 d=6.17481e-35 t=76495
nong chu lai 	弄出來	c=2 d=1.26401e-21 t=76495
nong de 	弄得	c=3 d=0.0134335 t=76495
nong de 	弄的	c=1 d=1.03042e-29 t=76495
nong dian 	弄點	c=1 d=1.33489e-104 t=76495
nong ge 	弄個	c=1 d=6.57249e-34 t=76495
nong hao 	儂好	c=2 d=2.11607e-83 t=76495
nong hao 	弄好	c=6 d=1.81328e-31 t=76495
nong hao le 	弄好了	c=10 d=0.0204453 t=76495
nong hao le ma 	弄好了吗	c=5 d=0.0156858 t=76495
nong hao ma 	弄好吗	c=1 d=0.00146632 t=76495
nong le 	弄了	c=5 d=2.78851e-06 t=76495
nong le ge 	弄了個	c=1 d=0.044601 t=76495
nong nong 	濃濃	c=1 d=1.56331e-80 t=76495
nong qi lai 	弄起來	c=1 d=5.2891e-37 t=76495
nong si 	弄死	c=1 d=3.62526e-05 t=76495
nong wan 	弄完	c=10 d=5.97706e-06 t=76495
nong wan le 	弄完了	c=1 d=8.37975e-39 t=76495
nong ye 	農業	c=1 d=4.54588e-79 t=76495
nong yi bo 	弄一撥	c=2 d=1.26573e-37 t=76495
nong yi ge 	弄一个	c=5 d=2.8175e-10 t=76495
nong yi xia 	弄一下	c=10 d=7.83512e-11 t=76495
nu fa 	怒發	c=1 d=1.66241e-09 t=76495
nu li 	努力	c=3 d=8.43638e-30 t=76495
nu li 	奴隸	c=5 d=4.04159e-32 t=76495
nu qi 	怒氣	c=1 d=1.12184e-29 t=76495
nuo 	挪	c=1 d=0.304221 t=76495
nuo dao 	挪到	c=2 d=0.0629761 t=76495
nuo fu ke 	諾福克	c=0 d=9.33823e-20 t=76495
nuo yan 	諾言	c=1 d=4.90192e-25 t=76495
nuo zou 	挪走	c=2 d=5.41974e-106 t=76495
nv 	女	c=0 d=3.88431e-112 t=76495
nv de 	女的	c=9 d=1.51194e-11 t=76495
nv hai zi 	女孩子	c=1 d=3.56779e-111 t=76495
nv pao you 	女炮友	c=1 d=3.90378e-111 t=76495
nv peng you 	女朋友	c=1 d=3.94301e-111 t=76495
nv quan 	女權	c=2 d=1.17907e-18 t=76495
nv ren 	女人	c=1 d=4.92214e-44 t=76495
nv sheng 	女生	c=1 d=3.94205e-20 t=76495
nv xing 	女性	c=2 d=7.95619e-17 t=76495
nv you 	女友	c=1 d=2.16448e-55 t=76495
nv zhu 	女主	c=1 d=3.83088e-07 t=76495
o 	哦	c=25 d=0.297359 t=76495
o o 	哦哦	c=26 d=0.472987 t=76495
o o 	噢噢	c=1 d=1.54176e-05 t=76495
ou 	偶	c=1 d=8.05666e-47 t=76495
ou 	歐	c=1 d=2.86544e-32 t=76495
ou er 	偶爾	c=3 d=0.0300467 t=76495
ou fa 	偶發	c=1 d=7.46816e-37 t=76495
ou fa xing 	偶發性	c=1 d=1.68403e-14 t=76495
ou he 	耦合	c=2 d=2.35803e-92 t=76495
ou ke 	歐克	c=1 d=1.98958e-05 t=76495
ou ke de 	歐克的	c=1 d=6.95312e-108 t=76495
ou niao 	鷗鳥	c=0 d=3.22968e-29 t=76495
ou ran 	偶然	c=1 d=8.9843e-35 t=76495
ou shu 	偶數	c=1 d=0.0376283 t=76495
pa 	怕	c=4 d=0.45612 t=76495
pa bei 	怕被	c=1 d=3.56377e-39 t=76495
pa guo 	爬過	c=1 d=1.03664e-41 t=76495
pa qu 	爬取	c=1 d=0.128093 t=76495
pa sha 	怕啥	c=1 d=1.86241e-22 t=76495
pa shan 	爬山	c=2 d=9.35906e-44 t=76495
pa shi 	怕事	c=1 d=4.22357e-08 t=76495
pa shi 	怕是	c=1 d=5.39927e-103 t=76495
pa ta 	怕他	c=1 d=1.30476e-13 t=76495
pai 	拍	c=1 d=3.7363e-07 t=76495
pai 	排	c=4 d=0.278037 t=76495
pai bing 	派兵	c=1 d=1.36621e-24 t=76495
pai cha 	排查	c=10 d=5.96262e-06 t=76495
pai chu 	排出	c=1 d=3.30524e-06 t=76495
pai chu 	排除	c=1 d=6.02255e-06 t=76495
pai chu suo 	派出所	c=2 d=3.30947e-22 t=76495
pai de 	拍得	c=1 d=7.62761e-109 t=76495
pai ge xu 	拍個序	c=1 d=1.17236e-106 t=76495
pai hang bang 	排行榜	c=1 d=3.5798e-33 t=76495
pai lie 	排列	c=4 d=0.00394889 t=76495
pai qi 	排期	c=8 d=6.76229e-16 t=76495
pai ren 	派人	c=1 d=0.279431 t=76495
pai sheng 	派生	c=1 d=1.16945e-18 t=76495
pai shi jian 	排時間	c=2 d=7.67598e-07 t=76495
pai shui 	排水	c=1 d=1.64431e-86 t=76495
pai si 	拍死	c=1 d=4.94245e-63 t=76495
pai ta 	拍他	c=1 d=8.72916e-49 t=76495
pai xia 	排下	c=0 d=2.20213e-53 t=76495
pai xia qi 	排下期	c=1 d=2.21317e-52 t=76495
pai xie 	排泄	c=1 d=0.0269169 t=76495
pai xu 	排序	c=51 d=0.809174 t=76495
pai yi xia 	排一下	c=1 d=1.57312e-36 t=76495
pai zhao 	拍照	c=1 d=0.398519 t=76495
pai zhao de 	拍照的	c=1 d=1.15962e-07 t=76495
pan 	判	c=4 d=0.169483 t=76495
pan 	潘	c=1 d=3.12348e-17 t=76495
pan 	盤	c=5 d=0.247139 t=76495
pan bie 	判別	c=3 d=7.28914e-05 t=76495
pan ding 	判定	c=2 d=7.44785e-05 t=76495
pan duan 	判斷	c=41 d=0.00618889 t=76495
pan duan le 	判斷了	c=1 d=7.00606e-109 t=76495
pan fu 	盤符	c=7 d=1.43698e-110 t=76495
pan kong 	判空	c=2 d=2.17824e-19 t=76495
pang 	胖	c=2 d=1.11396e-05 t=76495
pang bian 	旁邊	c=4 d=0.187661 t=76495
pang chou 	嗙臭	c=1 d=1.26857e-34 t=76495
pang zi 	胖子	c=2 d=0.0303487 t=76495
pao 	拋	c=0 d=1.00041e-94 t=76495
pao 	跑	c=24 d=7.5227e-05 t=76495
pao bu 	跑步	c=2 d=3.48785e-21 t=76495
pao bu qi lai 	跑不起来	c=1 d=1.47337e-30 t=76495
pao ce 	跑測	c=1 d=1.93243e-16 t=76495
pao chu 	拋出	c=3 d=4.35145e-06 t=76495
pao chu lai 	拋出來	c=4 d=0.000602152 t=76495
pao chu qu 	拋出去	c=1 d=2.62185e-75 t=76495
pao cuo 	抛错	c=2 d=2.99844e-07 t=76495
pao dao 	跑到	c=3 d=9.25633e-33 t=76495
pao de 	跑得	c=2 d=0.000259956 t=76495
pao gei 	抛给	c=3 d=2.28258e-33 t=76495
pao guo 	跑過	c=2 d=3.90815e-36 t=76495
pao hui 	炮灰	c=1 d=1.2729e-74 t=76495
pao hui jia 	跑回家	c=1 d=2.68237e-20 t=76495
pao le 	拋了	c=1 d=2.39138e-22 t=76495
pao le 	跑了	c=4 d=6.91205e-09 t=76495
pao le mei 	跑了沒	c=1 d=6.84444e-11 t=76495
pao lu 	跑路	c=3 d=0.000378488 t=76495
pao mian 	泡麪	c=1 d=4.44238e-14 t=76495
pao qi 	拋棄	c=1 d=5.08101e-06 t=76495
pao qi lai 	跑起來	c=6 d=0.279431 t=76495
pao tong 	跑通	c=2 d=0.210136 t=76495
pao tong le 	跑通了	c=1 d=1.19409e-28 t=76495
pao wan 	跑完	c=3 d=0.285076 t=76495
pao xu 	跑許	c=1 d=2.29566e-12 t=76495
pao yi bo 	跑一撥	c=2 d=5.61043e-25 t=76495
pao yi ci 	跑一次	c=2 d=8.61266e-38 t=76495
pao yi tiao 	跑一條	c=2 d=1.14592e-33 t=76495
pao yi xia 	拋一下	c=1 d=1.00543e-93 t=76495
pao yi xia 	跑一下	c=11 d=1.60413e-05 t=76495
pao you 	炮友	c=0 d=3.88431e-112 t=76495
pei 	配	c=4 d=2.51706e-07 t=76495
pei e 	配額	c=1 d=4.13461e-81 t=76495
pei fu 	佩服	c=1 d=0.0124007 t=76495
pei he 	配合	c=5 d=0.000395646 t=76495
pei tai 	胚胎	c=1 d=2.55025e-14 t=76495
pei tao 	配套	c=2 d=1.40275e-11 t=76495
pei yang 	培養	c=1 d=3.98765e-67 t=76495
pei yi ge 	配一个	c=2 d=7.0163e-38 t=76495
pei yi xia 	配一下	c=4 d=0.000102055 t=76495
pei zhi 	配置	c=110 d=0.858496 t=76495
pei zhi 	配製	c=13 d=5.31669e-10 t=76495
pei zhi qi 	配置器	c=1 d=6.0548e-10 t=76495
pei zhi wan 	配置完	c=2 d=0.060205 t=76495
pei zhi wen jian 	配置文件	c=2 d=0.00486835 t=76495
pei zhi wen jian hua 	配置文件化	c=1 d=1.54266e-100 t=76495
pei zhi xiang 	配置项	c=6 d=1.58268e-19 t=76495
pen 	噴	c=2 d=1.81989e-15 t=76495
pen jian 	噴濺	c=1 d=2.87237e-31 t=76495
pen le 	噴了	c=1 d=2.65568e-20 t=76495
pen she 	噴射	c=2 d=1.51212e-30 t=76495
pen you 	盆友	c=0 d=0.0231078 t=76495
pen you quan 	盆友圈	c=1 d=0.232236 t=76495
peng 	碰	c=1 d=4.91895e-07 t=76495
peng mian 	碰面	c=1 d=5.63357e-44 t=76495
peng you 	朋友	c=5 d=0.0431384 t=76495
peng you hou quan 	朋友猴拳	c=1 d=1.25638e-38 t=76495
peng you qu a 	朋友去啊	c=1 d=6.03692e-34 t=76495
peng you quan 	朋友圈	c=72 d=0.988788 t=76495
pi 	批	c=3 d=0.000175127 t=76495
pi cao zuo 	批操作	c=2 d=5.03046e-06 t=76495
pi cha 	批插	c=3 d=0.224249 t=76495
pi ci 	批次	c=1 d=1.3424e-23 t=76495
pi fa 	批發	c=1 d=1.06452e-59 t=76495
pi fu 	皮膚	c=2 d=2.8044e-14 t=76495
pi fu hei 	皮膚黑	c=1 d=6.86916e-24 t=76495
pi hao 	癖好	c=1 d=7.89067e-08 t=76495
pi jiu 	啤酒	c=1 d=9.49389e-37 t=76495
pi li pa la 	劈里啪啦	c=1 d=8.14872e-63 t=76495
pi liang 	批量	c=28 d=0.100259 t=76495
pi liang xie 	批量寫	c=1 d=5.32467e-57 t=76495
pi pan 	批判	c=1 d=3.37489e-16 t=76495
pi pei 	匹配	c=40 d=4.73891 t=76495
pi ping 	批評	c=1 d=2.72737e-98 t=76495
pi qi 	脾氣	c=3 d=2.48044e-11 t=76495
pi ru 	譬如	c=1 d=2.17311e-43 t=76495
pi shi 	屁事	c=2 d=1.70515e-29 t=76495
pi shi mei you 	屁事沒有	c=1 d=1.02811e-32 t=76495
pi shi zhen 	皮試針	c=1 d=1.58284e-79 t=76495
pi xie 	批寫	c=1 d=1.61933e-53 t=76495
pian 	偏	c=2 d=0.00467746 t=76495
pian 	片	c=1 d=2.79205e-109 t=76495
pian 	騙	c=4 d=9.80863e-09 t=76495
pian jian 	片鍵	c=3 d=0.323033 t=76495
pian ke 	片刻	c=1 d=2.60717e-09 t=76495
pian ni 	騙你	c=1 d=1.81291e-58 t=76495
pian xiang 	偏向	c=1 d=4.25749e-102 t=76495
pian yi 	便宜	c=1 d=3.33871e-95 t=76495
pian yi liang 	偏移量	c=2 d=3.5953e-25 t=76495
pian zhi 	偏執	c=2 d=7.89736e-18 t=76495
pian zi 	騙子	c=1 d=1.11453e-11 t=76495
piao 	嫖	c=0 d=2.90983e-08 t=76495
piao chang 	嫖娼	c=1 d=1.42691e-06 t=76495
piao liang 	漂亮	c=1 d=0.0117371 t=76495
piao ling 	嘌呤	c=0 d=0.0289384 t=76495
piao zheng xi 	朴正熙	c=1 d=9.94303e-22 t=76495
piao zou le 	嫖走了	c=1 d=2.92442e-07 t=76495
pin 	品	c=2 d=0.000201444 t=76495
pin 	拼	c=3 d=0.0214936 t=76495
pin bo 	拼博	c=1 d=0.752014 t=76495
pin dao 	頻道	c=35 d=0.0437178 t=76495
pin fan 	頻繁	c=2 d=4.60861e-05 t=76495
pin jie 	拼接	c=10 d=1.40758e-22 t=76495
pin kuai 	品快	c=22 d=0.381125 t=76495
pin lun 	品論	c=2 d=3.64207e-30 t=76495
pin lv 	頻率	c=13 d=0.160414 t=76495
pin pin 	頻頻	c=1 d=1.56252e-74 t=76495
pin qiong 	貧窮	c=1 d=1.18173e-82 t=76495
pin yin 	拼音	c=3 d=0.212613 t=76495
ping 	平	c=1 d=0.301194 t=76495
ping 	憑	c=1 d=2.94709e-39 t=76495
ping 	瓶	c=1 d=1.6244e-31 t=76495
ping bi 	屏蔽	c=28 d=1.12441 t=76495
ping dao 	評到	c=2 d=4.13137e-13 t=76495
ping fan 	平凡	c=1 d=4.51735e-05 t=76495
ping fang 	平方	c=1 d=1.53695e-27 t=76495
ping fen 	評分	c=1 d=4.79117e-109 t=76495
ping gu 	評估	c=7 d=0.00568457 t=76495
ping guo 	蘋果	c=2 d=1.36765e-07 t=76495
ping heng 	平衡	c=2 d=5.85647e-22 t=76495
ping jia 	評價	c=1 d=2.42538e-41 t=76495
ping jie 	憑藉	c=1 d=5.00164e-56 t=76495
ping jing 	瓶頸	c=1 d=7.04785e-32 t=76495
ping jun 	平均	c=3 d=0.697676 t=76495
ping jun zhi 	平均值	c=1 d=2.73089e-25 t=76495
ping lun 	評論	c=25 d=0.965459 t=76495
ping mu 	屏幕	c=1 d=9.42536e-40 t=76495
ping pu 	平鋪	c=1 d=0.000468957 t=76495
ping shi 	平時	c=6 d=0.677057 t=76495
ping tai 	平臺	c=22 d=0.447629 t=76495
ping tai duan 	平臺端	c=1 d=1.31797e-101 t=76495
ping ti a 	憑提啊	c=1 d=1.12535e-07 t=76495
ping zheng 	憑證	c=2 d=0.0283225 t=76495
ping zhuang 	瓶裝	c=1 d=5.1452e-36 t=76495
po 	破	c=2 d=0.0818731 t=76495
po fang 	破防	c=1 d=1.51108e-08 t=76495
po fu 	潑婦	c=1 d=4.66936e-12 t=76495
po fu wu 	破服務	c=1 d=7.2162e-45 t=76495
po hai 	迫害	c=2 d=9.41412e-26 t=76495
po huai 	破壞	c=1 d=6.9723e-111 t=76495
po huai xing 	破壞性	c=1 d=1.28587e-105 t=76495
po jie 	破戒	c=3 d=0.157237 t=76495
po jie 	破解	c=1 d=0.158817 t=76495
pou fu 	剖腹	c=1 d=0.185444 t=76495
pu 	譜	c=1 d=1.25677e-71 t=76495
pu bian 	普遍	c=4 d=1.80583e-12 t=76495
pu ji 	普及	c=1 d=1.54386e-21 t=76495
pu ke 	撲克	c=1 d=1.57773e-41 t=76495
pu tao 	葡萄	c=1 d=1.60468e-05 t=76495
pu tao tang 	葡萄糖	c=1 d=8.01401e-14 t=76495
pu ti 	菩提	c=0 d=3.22968e-29 t=76495
pu ti ou niao 	菩提鷗鳥	c=1 d=3.24587e-28 t=76495
pu tong 	普通	c=33 d=0.606039 t=76495
pu tong hua 	普通話	c=2 d=0.472367 t=76495
pu tong qun 	普通羣	c=1 d=2.31331e-102 t=76495
pu tuan 	蒲團	c=0 d=3.07635e-45 t=76495
qi 	企	c=2 d=6.91181e-38 t=76495
qi 	其	c=11 d=1.71274e-07 t=76495
qi 	啓	c=0 d=5.38625e-105 t=76495
qi 	器	c=5 d=0.062914 t=76495
qi 	奇	c=7 d=4.20466e-77 t=76495
qi 	期	c=1 d=1.85092e-08 t=76495
qi 	琪	c=1 d=0.000113922 t=76495
qi 	起	c=5 d=1.36083e-08 t=76495
qi 	齊	c=2 d=2.55503e-37 t=76495
qi an 	奇案	c=0 d=1.47488e-43 t=76495
qi ba dian 	七八点	c=1 d=2.81157e-44 t=76495
qi ba ge 	七八个	c=1 d=9.38344e-17 t=76495
qi bu shi 	豈不是	c=1 d=5.3055e-44 t=76495
qi che 	汽車	c=1 d=4.16538e-80 t=76495
qi chuang 	起牀	c=2 d=0.00278085 t=76495
qi ci 	七次	c=1 d=2.23306e-69 t=76495
qi ci 	其次	c=5 d=1.48333e-21 t=76495
qi dao 	騎到	c=1 d=0.00255424 t=76495
qi de 	氣得	c=2 d=0.0483156 t=76495
qi de 	起得	c=1 d=6.64781e-21 t=76495
qi de wo 	气的我	c=1 d=2.46421e-22 t=76495
qi dian 	七點	c=5 d=0.000314351 t=76495
qi dian 	起點	c=1 d=0.000319102 t=76495
qi dong 	啓動	c=10 d=0.00465543 t=76495
qi dong qi 	起動器	c=1 d=2.49584e-25 t=76495
qi feng 	奇峯	c=123 d=2.40302 t=76495
qi feng ne gei 	奇峯呢給	c=2 d=2.69958e-07 t=76495
qi guai 	奇怪	c=12 d=0.810584 t=76495
qi guai feng 	奇怪峯	c=2 d=2.15706e-44 t=76495
qi hou 	氣候	c=1 d=6.85726e-33 t=76495
qi huai 	氣壞	c=2 d=4.94282e-21 t=76495
qi jian 	期間	c=2 d=5.25914e-29 t=76495
qi lai 	起來	c=22 d=0.978444 t=76495
qi lai le 	起来了	c=1 d=2.10716e-05 t=76495
qi lv zhao ma 	騎驢找馬	c=3 d=2.11456e-11 t=76495
qi ma 	起碼	c=4 d=8.10144e-24 t=76495
qi ma 	騎馬	c=1 d=0.00279479 t=76495
qi pa 	奇葩	c=1 d=6.77381e-36 t=76495
qi qi 	七七	c=0 d=0.0995012 t=76495
qi qi lai 	啓起來	c=1 d=5.41325e-104 t=76495
qi qi ma ma 	七七媽媽	c=1 d=1 t=76495
qi qie 	妻妾	c=1 d=0.298197 t=76495
qi quan 	期權	c=1 d=2.15529e-05 t=76495
qi quan 	齊全	c=1 d=4.05796e-08 t=76495
qi shi 	其實	c=15 d=0.433874 t=76495
qi shi 	騎士	c=0 d=1.50877e-75 t=76495
qi shi ka 	騎士卡	c=1 d=1.51634e-74 t=76495
qi shou 	起手	c=1 d=5.8575e-32 t=76495
qi si 	氣死	c=1 d=3.96181e-20 t=76495
qi ta 	其他	c=61 d=0.0225378 t=76495
qi ta bu men 	其他部门	c=1 d=5.01389e-26 t=76495
qi ta hao 	其他號	c=1 d=1.82256e-91 t=76495
qi ta ren 	其他人	c=4 d=0.000958636 t=76495
qi ta zhi 	其他值	c=1 d=1.81064e-102 t=76495
qi te 	奇特	c=1 d=8.87978e-15 t=76495
qi wang 	期望	c=4 d=6.67409e-38 t=76495
qi wei 	企微	c=14 d=0.00086724 t=76495
qi wei 	氣味	c=1 d=1.66813e-20 t=76495
qi xi 	氣息	c=1 d=6.04597e-81 t=76495
qi xie 	器械	c=1 d=0.00293808 t=76495
qi xin 	起薪	c=1 d=0.0761538 t=76495
qi ye 	企業	c=78 d=3.73616 t=76495
qi yong 	啓用	c=1 d=6.88907e-58 t=76495
qi yuan 	起源	c=1 d=1.34587e-24 t=76495
qi zai 	騎在	c=1 d=0.489192 t=76495
qi zhong 	其中	c=5 d=0.0898153 t=76495
qia dang 	恰當	c=1 d=1.17755e-11 t=76495
qia hao 	恰好	c=1 d=4.35294e-10 t=76495
qia qiao 	恰巧	c=1 d=2.01993e-36 t=76495
qian 	前	c=30 d=0.144129 t=76495
qian 	千	c=1 d=3.20146e-13 t=76495
qian 	欠	c=2 d=1.29697e-25 t=76495
qian 	簽	c=1 d=1.96537e-09 t=76495
qian 	錢	c=12 d=0.722527 t=76495
qian bao 	錢包	c=1 d=5.41084e-40 t=76495
qian bo 	淺薄	c=1 d=9.89344e-22 t=76495
qian bu gou 	錢不夠	c=1 d=3.24245e-45 t=76495
qian bu liao 	簽不了	c=1 d=3.17091e-106 t=76495
qian cang 	潛藏	c=1 d=3.9196e-41 t=76495
qian dao 	簽到	c=3 d=0.00160441 t=76495
qian de 	簽得	c=1 d=1.10661e-74 t=76495
qian duan 	前端	c=169 d=1.42359 t=76495
qian duan 	淺短	c=1 d=4.47959e-112 t=76495
qian duan ne 	前端呢	c=1 d=1.17507e-45 t=76495
qian fei 	欠費	c=2 d=2.867e-09 t=76495
qian hou 	前後	c=2 d=0.00126207 t=76495
qian hou duan 	前后端	c=3 d=0.0122161 t=76495
qian hou zhui 	前後綴	c=1 d=1.05177e-35 t=76495
qian ji tian 	前幾天	c=1 d=4.255e-07 t=76495
qian ju 	遷居	c=1 d=4.69756e-24 t=76495
qian le 	簽了	c=1 d=1.13462e-74 t=76495
qian lian 	牽連	c=1 d=2.49797e-35 t=76495
qian mian 	前面	c=15 d=9.49316e-06 t=76495
qian ming 	簽名	c=14 d=0.0168231 t=76495
qian que 	欠缺	c=1 d=1.04493e-17 t=76495
qian ru 	嵌入	c=5 d=2.50895e-18 t=76495
qian ru shi 	嵌入式	c=1 d=0.00463092 t=76495
qian tai 	前臺	c=5 d=0.0119742 t=76495
qian tao 	嵌套	c=3 d=1.85027 t=76495
qian ti 	前提	c=2 d=3.04911e-17 t=76495
qian ti 	前體	c=1 d=1.48282e-17 t=76495
qian wan 	千萬	c=2 d=0.418952 t=76495
qian wan nian 	千萬年	c=1 d=1.09265e-13 t=76495
qian wang 	前往	c=4 d=5.54705e-10 t=76495
qian wang na ge 	前往那個	c=1 d=5.57485e-09 t=76495
qian xian 	淺顯	c=1 d=1.62302e-21 t=76495
qian yan 	前言	c=1 d=4.24374e-64 t=76495
qian yi 	前一	c=0 d=8.9413e-09 t=76495
qian yi 	遷移	c=5 d=0.017953 t=76495
qian yi ci 	前一次	c=2 d=0.00096827 t=76495
qian yi ge 	前一个	c=2 d=4.07748e-35 t=76495
qian yi miao 	前一秒	c=1 d=8.98612e-08 t=76495
qian yi mo hua 	潛移默化	c=1 d=1.11491e-15 t=76495
qian zhe 	前者	c=1 d=9.36498e-82 t=76495
qian zhi 	前置	c=8 d=0.00179097 t=76495
qian zhui 	前綴	c=8 d=0.704752 t=76495
qian zhui shu 	前綴樹	c=1 d=3.0585e-05 t=76495
qian zou 	欠揍	c=1 d=0.00154923 t=76495
qiang 	嗆	c=1 d=1.72626e-70 t=76495
qiang 	強	c=2 d=0.00367942 t=76495
qiang 	搶	c=1 d=2.98502e-13 t=76495
qiang 	牆	c=1 d=0.00012909 t=76495
qiang dao 	強盜	c=1 d=0.0593087 t=76495
qiang diao 	強調	c=3 d=0.0596059 t=76495
qiang gan zi 	槍桿子	c=1 d=1.14766e-32 t=76495
qiang guo 	強國	c=0 d=1.12669e-22 t=76495
qiang jia 	強加	c=1 d=2.44268e-07 t=76495
qiang jian 	強姦	c=1 d=6.13565e-19 t=76495
qiang jie 	搶劫	c=1 d=2.95331e-05 t=76495
qiang lie 	強烈	c=1 d=1.2389e-79 t=76495
qiang po zheng 	強迫症	c=1 d=1.57505e-21 t=76495
qiang shi 	強勢	c=1 d=0.00113627 t=76495
qiang ti shi 	強提示	c=1 d=2.47464e-101 t=76495
qiang xing 	強行	c=2 d=5.1863e-12 t=76495
qiang yi ge 	強一個	c=1 d=2.55642e-13 t=76495
qiang ying 	強硬	c=1 d=1.16263e-08 t=76495
qiang zhan 	搶佔	c=1 d=8.36185e-102 t=76495
qiang zhi 	強制	c=19 d=0.460704 t=76495
qiang zhi 	槍支	c=3 d=9.2485e-105 t=76495
qiao 	巧	c=0 d=0.0292293 t=76495
qiao 	敲	c=7 d=1.47036e-06 t=76495
qiao 	瞧	c=2 d=0.0316873 t=76495
qiao cui 	憔悴	c=0 d=2.8404e-18 t=76495
qiao cui le 	憔悴了	c=1 d=2.85464e-17 t=76495
qiao dai ma 	敲代码	c=2 d=3.90603e-59 t=76495
qiao qiao 	瞧瞧	c=1 d=8.69302e-60 t=76495
qiao qiao kan 	瞧瞧看	c=1 d=8.73659e-59 t=76495
qiao yi xia 	桥一下	c=1 d=4.0754e-29 t=76495
qie 	且	c=2 d=1.91021e-26 t=76495
qie 	切	c=4 d=0.0689068 t=76495
qie 	竊	c=1 d=0.355226 t=76495
qie bu 	切不	c=1 d=9.52271e-102 t=76495
qie dao 	切到	c=1 d=6.37954e-07 t=76495
qie fen 	切分	c=1 d=3.08704e-26 t=76495
qie ge 	切割	c=2 d=1.52975e-60 t=76495
qie guo qu 	切過去	c=1 d=1.21453e-110 t=76495
qie huan 	切換	c=10 d=4.70251e-07 t=76495
qie hui 	切回	c=2 d=2.3514e-21 t=76495
qie pian 	切片	c=8 d=2.84096e-17 t=76495
qie ru 	切入	c=1 d=1.28599e-18 t=76495
qie yi 	愜意	c=1 d=0.021068 t=76495
qie yi xia 	切一下	c=8 d=1.28795e-05 t=76495
qin 	琴	c=6 d=0.00406639 t=76495
qin 	親	c=1 d=1.88311e-05 t=76495
qin liao 	琴聊	c=1 d=7.82413e-26 t=76495
qin ru xing 	侵入性	c=1 d=6.57542e-98 t=76495
qing 	清	c=7 d=1.06509e-36 t=76495
qing 	請	c=52 d=0.00432587 t=76495
qing 	輕	c=4 d=1.87556e-10 t=76495
qing chao 	清朝	c=1 d=5.51263e-24 t=76495
qing che shu lu 	輕車熟路	c=1 d=1.9858e-12 t=76495
qing chu 	清楚	c=9 d=0.0578443 t=76495
qing chu 	清除	c=18 d=1.04795 t=76495
qing chu le 	清楚了	c=1 d=2.52995e-67 t=76495
qing chun 	青春	c=0 d=4.93672e-21 t=76495
qing chun ban 	青春版	c=1 d=4.96147e-20 t=76495
qing cuo le 	清錯了	c=1 d=1.87137e-49 t=76495
qing dan 	清單	c=1 d=2.82383e-07 t=76495
qing diao 	清掉	c=1 d=3.86231e-103 t=76495
